latitude,longitude,pokemon,times
52.712720141938,16.3657523807814,Weedle x 6 | Squirtle x 1 | Rattata x 2 | ,22:00:16 | 23:00:16 | 00:00:16 | 09:00:16 | 10:00:16 | 11:00:16 | 12:00:16 | 13:00:16 | 14:00:16 | 
52.712492594382,16.3922116231391,Beedrill x 1 | Weedle x 4 | Rattata x 1 | Pidgey x 2 | Eevee x 1 | ,22:02:09 | 23:02:09 | 00:02:09 | 09:02:09 | 10:02:09 | 11:02:09 | 12:02:09 | 13:02:09 | 14:02:09 | 
52.7117997418136,16.3868008978026,Kakuna x 1 | Bulbasaur x 1 | Weedle x 1 | Caterpie x 1 | Pidgey x 3 | ,22:28:23 | 23:28:23 | 09:28:23 | 10:28:23 | 12:28:23 | 13:28:23 | 14:28:23 | 
52.7077985487394,16.3823141311483,Magikarp x 1 | Drowzee x 7 | Machop x 1 | Jynx x 1 | ,21:42:18 | 22:42:18 | 23:42:18 | 08:42:18 | 09:42:18 | 10:42:18 | 11:42:18 | 12:42:18 | 13:42:18 | 14:42:18 | 
52.7547633459134,16.4012562487215,Weedle x 1 | ,22:58:33 | 
52.7160446410633,16.3671387846278,Pidgeotto x 1 | Venonat x 1 | Weedle x 2 | Caterpie x 1 | Pidgey x 4 | ,21:49:14 | 22:49:14 | 23:49:14 | 08:49:14 | 09:49:14 | 10:49:14 | 11:49:14 | 12:49:14 | 13:49:14 | 
52.708424701683,16.3742573786142,Pidgeotto x 1 | Weedle x 4 | Caterpie x 1 | Meowth x 1 | ,22:14:29 | 23:14:29 | 00:14:29 | 09:14:29 | 10:14:29 | 12:14:29 | 13:14:29 | 
52.7201051222491,16.3724267948325,Zubat x 1 | Oddish x 1 | Weedle x 1 | Pidgey x 2 | Rattata x 2 | ,22:12:07 | 23:12:07 | 00:12:07 | 09:12:07 | 10:12:07 | 12:12:07 | 13:12:07 | 
52.6968015781724,16.3866014259381,Weedle x 39 | Pidgey x 8 | Rattata x 23 | Caterpie x 11 | ,22:09:25 | 22:12:56 | 22:16:25 | 22:19:55 | 22:20:42 | 22:54:45 | 22:58:53 | 23:03:02 | 23:07:09 | 23:11:15 | 23:15:21 | 23:19:28 | 23:20:42 | 23:54:13 | 23:55:58 | 23:57:42 | 23:59:20 | 00:02:47 | 00:11:17 | 00:12:59 | 00:18:04 | 00:19:47 | 00:20:42 | 08:53:00 | 08:56:00 | 08:59:00 | 09:01:59 | 09:04:58 | 09:07:57 | 09:10:57 | 09:14:04 | 09:17:06 | 09:20:06 | 09:20:42 | 09:53:22 | 09:56:22 | 09:59:21 | 10:02:21 | 10:05:22 | 10:08:26 | 10:11:30 | 10:14:37 | 10:17:43 | 10:20:42 | 10:51:02 | 10:54:01 | 10:57:00 | 10:59:56 | 11:02:55 | 11:05:52 | 11:08:50 | 11:11:48 | 11:52:10 | 11:55:28 | 11:58:26 | 12:01:24 | 12:04:23 | 12:07:22 | 12:10:21 | 12:13:23 | 12:16:22 | 12:19:21 | 12:20:42 | 12:52:19 | 12:55:18 | 12:58:16 | 13:01:14 | 13:04:12 | 13:07:10 | 13:10:09 | 13:13:11 | 13:16:11 | 13:19:10 | 13:20:42 | 13:52:07 | 13:55:05 | 13:58:04 | 14:01:03 | 14:04:01 | 14:06:57 | 14:09:57 | 
52.7115705423783,16.3878120627558,Caterpie x 1 | Drowzee x 1 | Weedle x 3 | Golbat x 1 | Raticate x 1 | ,22:18:12 | 23:18:12 | 00:18:12 | 09:18:12 | 10:18:12 | 12:18:12 | 13:18:12 | 
52.7088193583968,16.3769271839861,Rattata x 4 | Pidgey x 5 | ,22:38:10 | 23:38:10 | 08:38:10 | 09:38:10 | 10:38:10 | 11:38:10 | 12:38:10 | 13:38:10 | 14:38:10 | 
